experiment_id,run_id,config_id,stratum_type,stratum_value,queries,retrieval_failures,generation_attempts,generation_failures,recall_at_1,recall_at_5,recall_at_10,mrr,bleu1,token_f1,bertscore_f1
paper_pilot_cuda_final_v3,all_runs,text_only,domain,tutorial,45,0,45,0,0.400000,0.666667,0.866667,0.515000,0.143596,0.208448,0.865636
paper_pilot_cuda_final_v3,all_runs,text_only,domain,visually_dynamic,45,0,45,0,0.800000,0.933333,1.000000,0.876190,0.261342,0.359377,0.891080
paper_pilot_cuda_final_v3,all_runs,whisper_medium,overall,all,135,0,135,0,0.422222,0.822222,0.933333,0.596235,0.121426,0.182585,0.858595
paper_pilot_cuda_final_v3,all_runs,whisper_medium,question_type,multimodal,33,0,33,0,0.000000,0.545455,0.818182,0.284091,0.075406,0.126284,0.839731
paper_pilot_cuda_final_v3,all_runs,whisper_medium,question_type,transcript_dependent,48,0,48,0,0.500000,1.000000,1.000000,0.676042,0.164142,0.227402,0.871367
paper_pilot_cuda_final_v3,all_runs,whisper_medium,question_type,visual_dependent,54,0,54,0,0.611111,0.833333,0.944444,0.716049,0.111581,0.177155,0.858771
paper_pilot_cuda_final_v3,all_runs,whisper_medium,domain,lecture,45,0,45,0,0.266667,0.800000,0.933333,0.481852,0.108057,0.168632,0.856296
paper_pilot_cuda_final_v3,all_runs,whisper_medium,domain,tutorial,45,0,45,0,0.400000,0.733333,0.866667,0.562963,0.119725,0.170786,0.856626
paper_pilot_cuda_final_v3,all_runs,whisper_medium,domain,visually_dynamic,45,0,45,0,0.600000,0.933333,1.000000,0.743889,0.136496,0.208338,0.862864
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,overall,all,45,0,45,0,0.444444,0.755556,0.844444,0.579533,0.132404,0.200569,0.862029
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,question_type,multimodal,11,0,11,0,0.090909,0.636364,0.727273,0.311472,0.079805,0.138260,0.847942
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,question_type,transcript_dependent,16,0,16,0,0.437500,0.812500,0.937500,0.592882,0.164703,0.229877,0.870291
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,question_type,visual_dependent,18,0,18,0,0.666667,0.777778,0.833333,0.731482,0.135838,0.212596,0.863295
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,domain,lecture,15,0,15,0,0.333333,0.666667,0.733333,0.479630,0.120556,0.186132,0.861385
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,domain,tutorial,15,0,15,0,0.333333,0.600000,0.800000,0.484524,0.113979,0.168130,0.854714
paper_pilot_cuda_final_v3,run_01,full_rrf_chrono,domain,visually_dynamic,15,0,15,0,0.666667,1.000000,1.000000,0.774444,0.162678,0.247445,0.869989
paper_pilot_cuda_final_v3,run_01,image_only,overall,all,45,0,45,0,0.288889,0.444444,0.622222,0.376076,0.060123,0.104274,0.834135
paper_pilot_cuda_final_v3,run_01,image_only,question_type,multimodal,11,0,11,0,0.181818,0.363636,0.545455,0.279040,0.051647,0.093838,0.828104
paper_pilot_cuda_final_v3,run_01,image_only,question_type,transcript_dependent,16,0,16,0,0.062500,0.312500,0.562500,0.195560,0.056388,0.098141,0.838474
paper_pilot_cuda_final_v3,run_01,image_only,question_type,visual_dependent,18,0,18,0,0.555556,0.611111,0.722222,0.595833,0.068622,0.116103,0.833962
paper_pilot_cuda_final_v3,run_01,image_only,domain,lecture,15,0,15,0,0.200000,0.266667,0.400000,0.252778,0.060367,0.103080,0.831431
paper_pilot_cuda_final_v3,run_01,image_only,domain,tutorial,15,0,15,0,0.266667,0.400000,0.600000,0.330079,0.046880,0.084375,0.832631
paper_pilot_cuda_final_v3,run_01,image_only,domain,visually_dynamic,15,0,15,0,0.400000,0.666667,0.866667,0.545370,0.073121,0.125367,0.838342
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,overall,all,45,0,45,0,0.533333,0.733333,0.911111,0.645212,0.120523,0.186825,0.861087
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,question_type,multimodal,11,0,11,0,0.363636,0.545455,0.818182,0.469048,0.076450,0.132710,0.844804
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,question_type,transcript_dependent,16,0,16,0,0.500000,0.750000,0.937500,0.656250,0.157052,0.224518,0.874008
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,question_type,visual_dependent,18,0,18,0,0.666667,0.833333,0.944444,0.743056,0.114987,0.186390,0.859554
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,domain,lecture,15,0,15,0,0.400000,0.600000,0.866667,0.544445,0.103247,0.169399,0.859473
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,domain,tutorial,15,0,15,0,0.400000,0.666667,0.866667,0.515000,0.106846,0.159543,0.854765
paper_pilot_cuda_final_v3,run_01,raw_score_fusion,domain,visually_dynamic,15,0,15,0,0.800000,0.933333,1.000000,0.876190,0.151477,0.231532,0.869024
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,overall,all,45,0,45,0,0.466667,0.755556,0.844444,0.598051,0.151521,0.220338,0.864407
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,question_type,multimodal,11,0,11,0,0.090909,0.636364,0.727273,0.326623,0.099589,0.164409,0.849645
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,question_type,transcript_dependent,16,0,16,0,0.500000,0.812500,0.937500,0.634549,0.194530,0.259305,0.876368
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,question_type,visual_dependent,18,0,18,0,0.666667,0.777778,0.833333,0.731482,0.145028,0.219879,0.862797
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,domain,lecture,15,0,15,0,0.333333,0.666667,0.733333,0.479630,0.124671,0.188427,0.861493
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,domain,tutorial,15,0,15,0,0.333333,0.600000,0.800000,0.484524,0.123354,0.176519,0.854182
paper_pilot_cuda_final_v3,run_01,rrf_relevance_order,domain,visually_dynamic,15,0,15,0,0.733333,1.000000,1.000000,0.830000,0.206539,0.296067,0.877548
paper_pilot_cuda_final_v3,run_01,text_only,overall,all,45,0,45,0,0.555556,0.733333,0.911111,0.656323,0.201718,0.282342,0.877043
paper_pilot_cuda_final_v3,run_01,text_only,question_type,multimodal,11,0,11,0,0.363636,0.545455,0.818182,0.469048,0.145530,0.221489,0.864203
paper_pilot_cuda_final_v3,run_01,text_only,question_type,transcript_dependent,16,0,16,0,0.500000,0.750000,0.937500,0.656250,0.224275,0.304084,0.887248
paper_pilot_cuda_final_v3,run_01,text_only,question_type,visual_dependent,18,0,18,0,0.722222,0.833333,0.944444,0.770833,0.216003,0.300205,0.875819
paper_pilot_cuda_final_v3,run_01,text_only,domain,lecture,15,0,15,0,0.466667,0.600000,0.866667,0.577778,0.222129,0.307212,0.879291
paper_pilot_cuda_final_v3,run_01,text_only,domain,tutorial,15,0,15,0,0.400000,0.666667,0.866667,0.515000,0.143596,0.208448,0.865636
paper_pilot_cuda_final_v3,run_01,text_only,domain,visually_dynamic,15,0,15,0,0.800000,0.933333,1.000000,0.876190,0.239428,0.331367,0.886202
paper_pilot_cuda_final_v3,run_01,whisper_medium,overall,all,45,0,45,0,0.422222,0.822222,0.933333,0.596235,0.121426,0.182585,0.858595
paper_pilot_cuda_final_v3,run_01,whisper_medium,question_type,multimodal,11,0,11,0,0.000000,0.545455,0.818182,0.284091,0.075406,0.126284,0.839731
paper_pilot_cuda_final_v3,run_01,whisper_medium,question_type,transcript_dependent,16,0,16,0,0.500000,1.000000,1.000000,0.676042,0.164142,0.227402,0.871366
paper_pilot_cuda_final_v3,run_01,whisper_medium,question_type,visual_dependent,18,0,18,0,0.611111,0.833333,0.944444,0.716049,0.111581,0.177155,0.858771
paper_pilot_cuda_final_v3,run_01,whisper_medium,domain,lecture,15,0,15,0,0.266667,0.800000,0.933333,0.481852,0.108057,0.168632,0.856296
paper_pilot_cuda_final_v3,run_01,whisper_medium,domain,tutorial,15,0,15,0,0.400000,0.733333,0.866667,0.562963,0.119725,0.170786,0.856626
paper_pilot_cuda_final_v3,run_01,whisper_medium,domain,visually_dynamic,15,0,15,0,0.600000,0.933333,1.000000,0.743889,0.136496,0.208338,0.862864
