experiment_id,run_id,config_id,scope,cache_state,metric,unit,observations,failures,mean,median,standard_deviation,p95
paper_pilot_cuda_final_v3,all_runs,raw_score_fusion,video_preprocessing,warm,total_pipeline_ms,milliseconds,27,0,9275.927715,8265.084974,4570.864992,17994.682600
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,query,not_applicable,query_embedding_ms,milliseconds,135,0,10.023076,9.978931,3.316146,14.057176
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,query,not_applicable,retrieval_ms,milliseconds,135,0,0.296387,0.259370,0.188944,0.505411
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,query,not_applicable,generation_ms,milliseconds,135,0,6417.328340,5655.591002,2533.759280,11819.506286
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,query,not_applicable,total_pipeline_ms,milliseconds,135,0,6429.084316,5665.642951,2533.855056,11828.440542
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,ingestion_ms,milliseconds,27,0,26.417060,19.467728,17.687962,61.874892
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,audio_extraction_ms,milliseconds,27,0,802.505072,723.594436,306.930305,1275.279728
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,asr_ms,milliseconds,27,0,2763.272117,2429.154158,841.899079,4277.189598
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,frame_extraction_ms,milliseconds,27,0,2.462398,2.178326,0.660492,3.751609
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,text_embedding_ms,milliseconds,27,0,571.735618,533.162243,119.395319,780.102685
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,image_embedding_ms,milliseconds,27,0,5185.383722,2407.548901,4279.901240,13535.624715
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,indexing_ms,milliseconds,27,0,2.533553,2.311415,0.594845,3.496920
paper_pilot_cuda_final_v3,all_runs,rrf_relevance_order,video_preprocessing,warm,total_pipeline_ms,milliseconds,27,0,9423.529405,8273.788722,4786.612014,18954.019642
paper_pilot_cuda_final_v3,all_runs,text_only,query,not_applicable,query_embedding_ms,milliseconds,135,0,10.575399,9.847683,4.116256,20.063123
paper_pilot_cuda_final_v3,all_runs,text_only,query,not_applicable,retrieval_ms,milliseconds,135,0,0.263828,0.125875,0.441225,1.511703
paper_pilot_cuda_final_v3,all_runs,text_only,query,not_applicable,generation_ms,milliseconds,135,0,1886.972956,1510.709620,1307.034056,5050.797185
paper_pilot_cuda_final_v3,all_runs,text_only,query,not_applicable,total_pipeline_ms,milliseconds,135,0,1899.673352,1519.897021,1307.736025,5067.283047
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,ingestion_ms,milliseconds,27,0,18.725507,14.819531,11.276482,47.678929
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,audio_extraction_ms,milliseconds,27,0,708.845761,579.894603,264.471903,1251.248246
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,asr_ms,milliseconds,27,0,2886.775418,2339.770349,1065.782482,4852.206688
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,frame_extraction_ms,milliseconds,27,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,text_embedding_ms,milliseconds,27,0,501.249953,452.188161,130.988939,763.659375
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,image_embedding_ms,milliseconds,27,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,indexing_ms,milliseconds,27,0,1.693882,1.304512,0.943936,4.023127
paper_pilot_cuda_final_v3,all_runs,text_only,video_preprocessing,not_applicable,total_pipeline_ms,milliseconds,27,0,4176.528295,3547.395745,1386.404109,6670.085930
paper_pilot_cuda_final_v3,all_runs,whisper_medium,query,not_applicable,query_embedding_ms,milliseconds,135,0,10.273319,9.313769,4.866575,14.845091
paper_pilot_cuda_final_v3,all_runs,whisper_medium,query,not_applicable,retrieval_ms,milliseconds,135,0,0.284259,0.232191,0.161184,0.499465
paper_pilot_cuda_final_v3,all_runs,whisper_medium,query,not_applicable,generation_ms,milliseconds,135,0,7500.840700,7188.703558,2726.808391,12607.601751
paper_pilot_cuda_final_v3,all_runs,whisper_medium,query,not_applicable,total_pipeline_ms,milliseconds,135,0,7512.658887,7199.248745,2726.505250,12616.625063
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,ingestion_ms,milliseconds,27,0,20.337503,18.701501,10.636032,38.632137
paper_pilot_cuda_final_v3,all_runs,whisper_medium,video_preprocessing,warm,audio_extraction_ms,milliseconds,27,0,729.123633,536.304924,348.462582,1325.156761
