video_id,file_path,title,domain,duration_seconds,language,source_url,license,has_audio,has_burned_captions,notes
vid_001,data/vid_001.mp4,Vector intro for linear algebra | Vectors and spaces | Linear Algebra | Khan Academy,lecture,349.0,en,https://www.youtube.com/watch?v=br7tS1t2SFE,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; whiteboard mini-lecture.
vid_002,data/vid_002.mp4,Cell cycle phases | Cells | MCAT | Khan Academy,lecture,342.0,en,https://www.youtube.com/watch?v=U5vAO_f2LDQ,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; narrated diagram mini-lecture.
vid_003,data/vid_003.mp4,Physical and chemical changes | Chemistry | Khan Academy,lecture,278.0,en,https://www.youtube.com/watch?v=n5cZ5CWuUJA,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; annotated chemistry mini-lecture.
vid_004,data/vid_004.mp4,Blender in 5 MINUTES (EASY for Absolute Beginner),tutorial,293.0,en,https://www.youtube.com/watch?v=t_1azmWSB4o,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; Blender interface screencast.
vid_005,data/vid_005.mp4,Start Streaming In 5 Minutes With OBS Studio!,tutorial,299.0,en,https://www.youtube.com/watch?v=0-i1mwOX0EA,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; OBS setup screencast.
vid_006,data/vid_006.mp4,Learn GIMP in 5 Minutes: POWERFUL Free Photo Editor,tutorial,299.0,en,https://www.youtube.com/watch?v=hsnFGRrTaUM,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; GIMP interface and feature tour.
vid_007,data/vid_007.mp4,How Small Is An Atom? Spoiler: Very Small.,visually_dynamic,297.0,en,https://www.youtube.com/watch?v=_lNF3_30lUE,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; fast-paced narrated animation.
vid_008,data/vid_008.mp4,What would happen if you didn’t drink water? - Mia Nacamulli,visually_dynamic,292.0,en,https://www.youtube.com/watch?v=9iMGFqMmUFs,Not verified; check source terms before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; narrated TED-Ed animation.
vid_009,data/vid_009.mp4,How We Are Going to the Moon - 4K,visually_dynamic,331.0,en,https://www.youtube.com/watch?v=_T8cn2J13-4,NASA media usage guidelines; verify third-party elements before redistribution,true,false,Verified accessible 2026-08-19; English closed captions available; official NASA mission animation.
